Date	Advertiser	Order	Line_item	Creative	Advertiser_ID	Order_ID	Line_item_ID	Creative_ID	External_advertiser_ID	External_order_ID	External_Line_Item_ID	Creative_Id	Total_impressions	Total_clicks	Total_CTR	Column1	Column2	
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 160x600	50455	298883607	112526127	83223721407	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	7	0	0			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 300x250	33459447	298883607	112526127	83224857807	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	4160	51	0.0123			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 300x600	33459447	298883607	112526127	83224873167	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	2742	57	0.0208			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 728x90	33459447	298883607	112526127	83224880487	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	2376	11	0.0046			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 900x65	33459447	298883607	112526127	83224931847	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	4427	116	0.0262			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 160x600	33459447	298883607	112526127	83224977807	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	11	0	0			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 300x250	33459447	298883607	112526127	83224984167	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	4080	47	0.0115			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 300x600	33459447	298883607	112526127	83224992327	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	2689	68	0.0253			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 728x90	33459447	298883607	112526127	83224992927	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	2430	16	0.0066			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 900x65	33459447	298883607	112526127	83224993767	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	4476	101	0.0226			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	Mobile Smartphone US 31714 0401 1231	Smartphone Showroom 31714 0301 320x60	33459447	298883607	112526487	83229497607	-	0	00k3800000V6yCxAAJ	ct01e4b96990009512	16638	120	0.0072			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	Mobile Smartphone US 31714 0401 1231	Smartphone Hotspots 31714 0301 320x60	33459447	298883607	112526487	83229498567	-	0	00k3800000V6yCxAAJ	ct01e450ef40009512	15386	97	0.0063			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	Mobile Tablet US 31714 0401 1231	Tablet Showroom 31714 0301 768x66	33459447	298883607	112526607	83229499887	-	0	00k3800000V6yCxAAJ	ct01e4b96990009512	8721	117	0.0134			
4/1/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	Mobile Tablet US 31714 0401 1231	Tablet Hotspots 31714 0301 768x66	33459447	298883607	112526607	83229501207	-	0	00k3800000V6yCxAAJ	ct01e450ef40009512	8504	85	0.01			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 160x600	33459447	298883607	112526127	83223721407	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	2	0	0			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 300x250	33459447	298883607	112526127	83224857807	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	4040	70	0.0173			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 300x600	33459447	298883607	112526127	83224873167	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	1413	34	0.0241			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 728x90	33459447	298883607	112526127	83224880487	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	880	4	0.0045			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames Showroom 31714 0301 900x65	33459447	298883607	112526127	83224931847	-	0	00k3800000V6yCsAAJ	ct01e47cb430002a83	2482	89	0.0359			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 160x600	33459447	298883607	112526127	83224977807	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	1	0	0			
4/2/16	Sub Zero / Wolf	SubZero/Wolf-16Awareness-USA-31714 0316	AdFrames Desktop US 31714 0401 1231	AdFrames HotSpots 31714 0301 300x250	33459447	298883607	112526127	83224984167	-	0	00k3800000V6yCsAAJ	ct01e3bf4a80002a83	2646	33	0.0125			
